tiempo,entrada
36.2,0.3159
36.3,0.3159
36.4,0.3159
36.5,0.3159
36.6,0.3159
36.7,0.3159
36.8,0.3159
36.9,0.3159
37,0.3159
37.1,0.3159
37.2,0.3159
37.3,0.3159
37.4,0.3159
37.5,0.3159
37.6,0.3159
37.7,0.3159
37.8,0.3159
37.9,0.3159
38,0.3159
38.1,0.3159
38.2,0.3159
38.3,0.3159
38.4,0.3159
38.5,0.3159
38.6,0.3159
38.7,0.3159
38.8,0.3159
38.9,0.3159
39,0.3159
39.1,0.3159
39.2,0.3159
39.3,0.3159
39.4,0.3159
39.5,0.3159
39.6,0.3159
39.7,0.3159
39.8,0.3159
39.9,0.3159
40,0.3159
40.1,0.3159
40.2,0.3159
40.3,0.3159
40.4,0.3159
40.5,0.3159
40.6,0.3159
40.7,0.3159
40.8,0.3159
40.9,0.3159
41,0.3159
41.1,0.3159
41.2,0.3159
41.3,0.3159
41.4,0.3159
41.5,0.3159
41.6,0.3159
41.7,0.3159
41.8,0.3159
41.9,0.3159
42,0.3159
42.1,0.3159
42.2,0.3159
42.3,0.3159
42.4,0.3159
42.5,0.3159
42.6,0.3159
42.7,0.3159
42.8,0.3159
42.9,0.3159
43,0.3159
43.1,0.3159
43.2,0.3159
43.3,0.3159
43.4,0.3159
43.5,0.3159
43.6,0.3159
43.7,0.3159
43.8,0.3159
43.9,0.3159
44,0.3159
44.1,0.3159
44.2,0.3159
44.3,0.3159
44.4,0.3159
44.5,0.3159
44.6,0.3159
44.7,0.3159
44.8,0.3159
44.9,0.3159
45,1.8899
45.1,1.8899
45.2,1.8899
45.3,1.8899
45.4,1.8899
45.5,1.8899
45.6,1.8899
45.7,1.8899
45.8,1.8899
45.9,1.8899
46,1.8899
46.1,1.8899
46.2,1.8899
46.3,1.8899
46.4,1.8899
46.5,1.8899
46.6,1.8899
46.7,1.8899
46.8,1.8899
46.9,1.8899
47,1.8899
47.1,1.8899
47.2,1.8899
47.3,1.8899
47.4,1.8899
47.5,1.8899
47.6,1.8899
47.7,1.8899
47.8,1.8899
47.9,1.8899
48,1.8899
48.1,1.8899
48.2,1.8899
48.3,1.8899
48.4,1.8899
48.5,1.8899
48.6,1.8899
48.7,1.8899
48.8,1.8899
48.9,1.8899
49,1.8899
49.1,1.8899
49.2,1.8899
49.3,1.8899
49.4,1.8899
49.5,1.8899
49.6,1.8899
49.7,1.8899
49.8,1.8899
49.9,1.8899
50,1.8899
50.1,1.8899
50.2,1.8899
50.3,1.8899
50.4,1.8899
50.5,1.8899
50.6,1.8899
50.7,1.8899
50.8,1.8899
50.9,1.8899
51,1.8899
51.1,1.8899
51.2,1.8899
51.3,1.8899
51.4,1.8899
51.5,1.8899
51.6,1.8899
51.7,1.8899
51.8,1.8899
51.9,1.8899
52,1.8899
52.1,1.8899
52.2,1.8899
52.3,1.8899
52.4,1.8899
52.5,1.8899
52.6,1.8899
52.7,1.8899
52.8,1.8899
52.9,1.8899
53,1.8899
53.1,1.8899
53.2,1.8899
53.3,1.8899
53.4,1.8899
53.5,1.8899
53.6,1.8899
53.7,1.8899
53.8,1.8899
53.9,1.8899
54,1.8899
54.1,1.8899
54.2,1.8899
54.3,1.8899
54.4,1.8899
54.5,1.8899
54.6,1.8899
54.7,1.8899
54.8,1.8899
54.9,1.8899
55,1.8899
55.1,1.8899
55.2,1.8899
55.3,1.8899
55.4,1.8899
55.5,1.8899
55.6,1.8899
55.7,1.8899
55.8,1.8899
55.9,1.8899
56,1.8899
56.1,1.8899
56.2,1.8899
56.3,1.8899
56.4,1.8899
56.5,1.8899
56.6,1.8899
56.7,1.8899
56.8,1.8899
56.9,1.8899
57,1.8899
57.1,1.8899
57.2,1.8899
57.3,1.8899
57.4,1.8899
57.5,1.8899
57.6,1.8899
57.7,1.8899
57.8,1.8899
57.9,1.8899
58,1.8899
58.1,1.8899
58.2,1.8899
58.3,1.8899
58.4,1.8899
58.5,1.8899
58.6,1.8899
58.7,1.8899
58.8,1.8899
58.9,1.8899
59,1.8899
59.1,1.8899
59.2,1.8899
59.3,1.8899
59.4,1.8899
59.5,1.8899
59.6,1.8899
59.7,1.8899
59.8,1.8899
59.9,1.8899
60,-1.8314
60.1,-1.8314
60.2,-1.8314
60.3,-1.8314
60.4,-1.8314
60.5,-1.8314
60.6,-1.8314
60.7,-1.8314
60.8,-1.8314
60.9,-1.8314
61,-1.8314
61.1,-1.8314
61.2,-1.8314
61.3,-1.8314
61.4,-1.8314
61.5,-1.8314
61.6,-1.8314
61.7,-1.8314
61.8,-1.8314
61.9,-1.8314
62,-1.8314
62.1,-1.8314
62.2,-1.8314
62.3,-1.8314
62.4,-1.8314
62.5,-1.8314
62.6,-1.8314
62.7,-1.8314
62.8,-1.8314
62.9,-1.8314
63,-1.8314
63.1,-1.8314
63.2,-1.8314
63.3,-1.8314
63.4,-1.8314
63.5,-1.8314
63.6,-1.8314
63.7,-1.8314
63.8,-1.8314
63.9,-1.8314
64,-1.8314
64.1,-1.8314
64.2,-1.8314
64.3,-1.8314
64.4,-1.8314
64.5,-1.8314
64.6,-1.8314
64.7,-1.8314
64.8,-1.8314
64.9,-1.8314
65,-1.8314
65.1,-1.8314
65.2,-1.8314
65.3,-1.8314
65.4,-1.8314
65.5,-1.8314
65.6,-1.8314
65.7,-1.8314
65.8,-1.8314
65.9,-1.8314
66,-1.8314
66.1,-1.8314
66.2,-1.8314
66.3,-1.8314
66.4,-1.8314
66.5,-1.8314
66.6,-1.8314
66.7,-1.8314
66.8,-1.8314
66.9,-1.8314
67,-1.8314
67.1,-1.8314
67.2,-1.8314
67.3,-1.8314
67.4,-1.8314
67.5,-1.8314
67.6,-1.8314
67.7,-1.8314
67.8,-1.8314
67.9,-1.8314
68,-1.8314
68.1,-1.8314
68.2,-1.8314
68.3,-1.8314
68.4,-1.8314
68.5,-1.8314
68.6,-1.8314
68.7,-1.8314
68.8,-1.8314
68.9,-1.8314
69,-1.8314
69.1,-1.8314
69.2,-1.8314
69.3,-1.8314
69.4,-1.8314
69.5,-1.8314
69.6,-1.8314
69.7,-1.8314
69.8,-1.8314
69.9,-1.8314
70,-1.8314
70.1,-1.8314
70.2,-1.8314
70.3,-1.8314
70.4,-1.8314
70.5,-1.8314
70.6,-1.8314
70.7,-1.8314
70.8,-1.8314
70.9,-1.8314
71,-1.8314
71.1,-1.8314
71.2,-1.8314
71.3,-1.8314
71.4,-1.8314
71.5,-1.8314
71.6,-1.8314
71.7,-1.8314
71.8,-1.8314
71.9,-1.8314
72,-1.8314
72.1,-1.8314
72.2,-1.8314
72.3,-1.8314
72.4,-1.8314
72.5,-1.8314
72.6,-1.8314
72.7,-1.8314
72.8,-1.8314
72.9,-1.8314
73,-1.8314
73.1,-1.8314
73.2,-1.8314
73.3,-1.8314
73.4,-1.8314
73.5,-1.8314
73.6,-1.8314
73.7,-1.8314
73.8,-1.8314
73.9,-1.8314
74,-1.8314
74.1,-1.8314
74.2,-1.8314
74.3,-1.8314
74.4,-1.8314
74.5,-1.8314
74.6,-1.8314
74.7,-1.8314
74.8,-1.8314
74.9,-1.8314
75,1.749
75.1,1.749
75.2,1.749
75.3,1.749
75.4,1.749
75.5,1.749
75.6,1.749
75.7,1.749
75.8,1.749
75.9,1.749
76,1.749
76.1,1.749
76.2,1.749
76.3,1.749
76.4,1.749
76.5,1.749
76.6,1.749
76.7,1.749
76.8,1.749
76.9,1.749
77,1.749
77.1,1.749
77.2,1.749
77.3,1.749
77.4,1.749
77.5,1.749
77.6,1.749
77.7,1.749
77.8,1.749
77.9,1.749
78,1.749
78.1,1.749
78.2,1.749
78.3,1.749
78.4,1.749
78.5,1.749
78.6,1.749
78.7,1.749
78.8,1.749
78.9,1.749
79,1.749
79.1,1.749
79.2,1.749
79.3,1.749
79.4,1.749
79.5,1.749
79.6,1.749
79.7,1.749
79.8,1.749
79.9,1.749
80,1.749
80.1,1.749
80.2,1.749
80.3,1.749
80.4,1.749
80.5,1.749
80.6,1.749
80.7,1.749
80.8,1.749
80.9,1.749
81,1.749
81.1,1.749
81.2,1.749
81.3,1.749
81.4,1.749
81.5,1.749
81.6,1.749
81.7,1.749
81.8,1.749
81.9,1.749
82,1.749
82.1,1.749
82.2,1.749
82.3,1.749
82.4,1.749
82.5,1.749
82.6,1.749
82.7,1.749
82.8,1.749
82.9,1.749
83,1.749
83.1,1.749
83.2,1.749
83.3,1.749
83.4,1.749
83.5,1.749
83.6,1.749
83.7,1.749
83.8,1.749
83.9,1.749
84,1.749
84.1,1.749
84.2,1.749
84.3,1.749
84.4,1.749
84.5,1.749
84.6,1.749
84.7,1.749
84.8,1.749
84.9,1.749
85,1.749
85.1,1.749
85.2,1.749
85.3,1.749
85.4,1.749
85.5,1.749
85.6,1.749
85.7,1.749
85.8,1.749
85.9,1.749
86,1.749
86.1,1.749
86.2,1.749
86.3,1.749
86.4,1.749
86.5,1.749
86.6,1.749
86.7,1.749
86.8,1.749
86.9,1.749
87,1.749
87.1,1.749
87.2,1.749
87.3,1.749
87.4,1.749
87.5,1.749
87.6,1.749
87.7,1.749
87.8,1.749
87.9,1.749
88,1.749
88.1,1.749
88.2,1.749
88.3,1.749
88.4,1.749
88.5,1.749
88.6,1.749
88.7,1.749
88.8,1.749
88.9,1.749
89,1.749
89.1,1.749
89.2,1.749
89.3,1.749
89.4,1.749
89.5,1.749
89.6,1.749
89.7,1.749
89.8,1.749
89.9,1.749
90,2
90.1,2
90.2,2
90.3,2
90.4,2
90.5,2
90.6,2
90.7,2
90.8,2
90.9,2
91,2
91.1,2
91.2,2
91.3,2
91.4,2
91.5,2
91.6,2
91.7,2
91.8,2
91.9,2
92,2
92.1,2
92.2,2
92.3,2
92.4,2
92.5,2
92.6,2
92.7,2
92.8,2
92.9,2
93,2
93.1,2
93.2,2
93.3,2
93.4,2
93.5,2
93.6,2
93.7,2
93.8,2
93.9,2
94,2
94.1,2
94.2,2
94.3,2
94.4,2
94.5,2
94.6,2
94.7,2
94.8,2
94.9,2
95,2
95.1,2
95.2,2
95.3,2
95.4,2
95.5,2
95.6,2
95.7,2
95.8,2
95.9,2
96,2
96.1,2
96.2,2
96.3,2
96.4,2
96.5,2
96.6,2
96.7,2
96.8,2
96.9,2
97,2
97.1,2
97.2,2
97.3,2
97.4,2
97.5,2
97.6,2
97.7,2
97.8,2
97.9,2
98,2
98.1,2
98.2,2
98.3,2
98.4,2
98.5,2
98.6,2
98.7,2
98.8,2
98.9,2
99,2
99.1,2
99.2,2
99.3,2
99.4,2
99.5,2
99.6,2
99.7,2
99.8,2
99.9,2
100,2
100.1,2
100.2,2
100.3,2
100.4,2
100.5,2
100.6,2
100.7,2
100.8,2
100.9,2
101,2
101.1,2
101.2,2
101.3,2
101.4,2
101.5,2
101.6,2
101.7,2
101.8,2
101.9,2
102,2
102.1,2
102.2,2
102.3,2
102.4,2
102.5,2
102.6,2
102.7,2
102.8,2
102.9,2
103,2
103.1,2
103.2,2
103.3,2
103.4,2
103.5,2
103.6,2
103.7,2
103.8,2
103.9,2
104,2
104.1,2
104.2,2
104.3,2
104.4,2
104.5,2
104.6,2
104.7,2
104.8,2
104.9,2
105,-1.0565
105.1,-1.0565
105.2,-1.0565
105.3,-1.0565
105.4,-1.0565
105.5,-1.0565
105.6,-1.0565
105.7,-1.0565
105.8,-1.0565
105.9,-1.0565
106,-1.0565
106.1,-1.0565
106.2,-1.0565
106.3,-1.0565
106.4,-1.0565
106.5,-1.0565
106.6,-1.0565
106.7,-1.0565
106.8,-1.0565
106.9,-1.0565
107,-1.0565
107.1,-1.0565
107.2,-1.0565
107.3,-1.0565
107.4,-1.0565
107.5,-1.0565
107.6,-1.0565
107.7,-1.0565
107.8,-1.0565
107.9,-1.0565
108,-1.0565
108.1,-1.0565
108.2,-1.0565
108.3,-1.0565
108.4,-1.0565
108.5,-1.0565
108.6,-1.0565
108.7,-1.0565
108.8,-1.0565
108.9,-1.0565
109,-1.0565
109.1,-1.0565
109.2,-1.0565
109.3,-1.0565
109.4,-1.0565
109.5,-1.0565
